epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
50,835.52,0.21919,0.98283,1,0.04123,0.000735792,0.000735792,0.000735792
51,852.214,0.05487,0.97425,1,0.08315,0.000721645,0.000721645,0.000721645
52,868.969,0.11733,0.97425,1,0.12092,0.000707498,0.000707498,0.000707498
53,885.637,0.06246,0.97425,1,0.12271,0.000693351,0.000693351,0.000693351
54,904.653,0.05401,0.97425,1,0.11905,0.000679204,0.000679204,0.000679204
55,922.056,0.11233,0.97854,1,0.1003,0.000665057,0.000665057,0.000665057
56,939.205,0.0904,0.97854,1,0.06303,0.000650909,0.000650909,0.000650909
57,955.646,0.04961,0.97854,1,0.04942,0.000636762,0.000636762,0.000636762
58,972.098,0.07019,0.97854,1,0.04569,0.000622615,0.000622615,0.000622615
59,988.573,0.07433,0.97854,1,0.05462,0.000608468,0.000608468,0.000608468
60,1005.39,0.04878,0.97854,1,0.07488,0.000594321,0.000594321,0.000594321
61,1022.32,0.05613,0.97854,1,0.10439,0.000580174,0.000580174,0.000580174
62,1038.99,0.08462,0.97854,1,0.05677,0.000566027,0.000566027,0.000566027
63,1055.85,0.06903,0.98283,1,0.03917,0.00055188,0.00055188,0.00055188
64,1072.38,0.04301,0.98712,1,0.04041,0.000537733,0.000537733,0.000537733
65,1088.78,0.11547,0.98712,1,0.04426,0.000523586,0.000523586,0.000523586
66,1105.43,0.06757,0.98283,1,0.05005,0.000509438,0.000509438,0.000509438
67,1123.09,0.04495,0.98283,1,0.05669,0.000495291,0.000495291,0.000495291
68,1141.38,0.07672,0.98283,1,0.06351,0.000481144,0.000481144,0.000481144
69,1162.36,0.10873,0.98283,1,0.0923,0.000466997,0.000466997,0.000466997
70,1179.87,0.03708,0.98283,1,0.04853,0.00045285,0.00045285,0.00045285
71,1196.58,0.07855,0.98283,1,0.06177,0.000438703,0.000438703,0.000438703
72,1212.97,0.04649,0.98283,1,0.04242,0.000424556,0.000424556,0.000424556
73,1229.44,0.0457,0.98283,1,0.053,0.000410409,0.000410409,0.000410409
74,1245.89,0.09726,0.97854,1,0.0555,0.000396262,0.000396262,0.000396262
75,1263.12,0.0286,0.97854,1,0.08143,0.000382115,0.000382115,0.000382115
76,1279.93,0.05076,0.97854,1,0.15478,0.000367967,0.000367967,0.000367967
77,1297.89,0.02878,0.98283,1,0.08548,0.00035382,0.00035382,0.00035382
78,1315.92,0.06129,0.98283,1,0.08823,0.000339673,0.000339673,0.000339673
79,1333.85,0.11922,0.98283,1,0.12126,0.000325526,0.000325526,0.000325526
80,1351.99,0.05717,0.98283,1,0.05055,0.000311379,0.000311379,0.000311379
81,1369.16,0.04293,0.98712,1,0.04941,0.000297232,0.000297232,0.000297232
82,1386.4,0.02266,0.98712,1,0.03695,0.000283085,0.000283085,0.000283085
83,1404.13,0.03968,0.98712,1,0.04027,0.000268938,0.000268938,0.000268938
84,1421.08,0.04207,0.98712,1,0.04887,0.000254791,0.000254791,0.000254791
85,1438.7,0.02676,0.98283,1,0.05595,0.000240644,0.000240644,0.000240644
86,1455.82,0.03555,0.97854,1,0.05789,0.000226497,0.000226497,0.000226497
87,1473.39,0.02872,0.98283,1,0.04887,0.000212349,0.000212349,0.000212349
88,1492.07,0.0358,0.97854,1,0.05497,0.000198202,0.000198202,0.000198202
89,1510.12,0.03048,0.97854,1,0.06698,0.000184055,0.000184055,0.000184055
90,1527.35,0.02461,0.97854,1,0.06625,0.000169908,0.000169908,0.000169908
91,1543.97,0.02116,0.97854,1,0.0671,0.000155761,0.000155761,0.000155761
92,1561.83,0.22302,0.97854,1,0.06778,0.000141614,0.000141614,0.000141614
93,1578.98,0.15518,0.97854,1,0.06854,0.000127467,0.000127467,0.000127467
94,1596.26,0.02863,0.97854,1,0.07202,0.00011332,0.00011332,0.00011332
95,1613.66,0.03291,0.97854,1,0.06594,9.91726e-05,9.91726e-05,9.91726e-05
96,1630.95,0.01808,0.97854,1,0.06473,8.50255e-05,8.50255e-05,8.50255e-05
97,1647.85,0.0511,0.97854,1,0.06523,7.08784e-05,7.08784e-05,7.08784e-05
98,1664.78,0.03633,0.97854,1,0.0638,5.67313e-05,5.67313e-05,5.67313e-05
99,1681.87,0.0693,0.97854,1,0.05564,4.25842e-05,4.25842e-05,4.25842e-05
100,1699.01,0.02227,0.97854,1,0.06058,2.84371e-05,2.84371e-05,2.84371e-05
